model_1,model_2,n_1,n_2,intersection,union,jaccard,overlap_pct_of_model_1,overlap_pct_of_model_2
OCSVM,Consensus,5173,3032,3032,5173,0.5861202397061667,0.5861202397061667,1.0
IF,Consensus,5196,3032,3032,5196,0.5835257890685143,0.5835257890685143,1.0
IF,OCSVM,5196,5173,3032,7337,0.4132479214937986,0.5835257890685143,0.5861202397061667
IF,LOF,5196,5149,1066,9279,0.11488306929626037,0.20515781370284836,0.20703049135754514
LOF,Consensus,5149,3032,733,7448,0.0984156820622986,0.14235773936686735,0.24175461741424803
LOF,OCSVM,5149,5173,862,9460,0.09112050739957717,0.16741114779568847,0.16663444809588246
